name,price,status,shipping,free_returns,items_sold
Dell Latitude Laptop Computer PC Intel i5 Up To 32GB RAM 1TB SSD Windows 11,23736,Genuine Windows 11 OS! Great Condition! Fast Shipping!,0,True,19
"HP X360 11 G6 11.6"" Touchscreen Laptop Core i3 8GB RAM 128GB SSD Windows 11 WiFi",17978,Excellent - Refurbished · HP,0,True,324
"Dell Latitude 14"" Laptop Computer Intel i5 Up To 32GB RAM 1TB SSD Windows 11 Pro",22417,Genuine Windows 11 OS! Great Condition! Fast Shipping!,0,True,
Dell Precision 15.6” Gaming Laptop Intel i7 32GB RAM 1TB SSD Win 11 Pro NVIDIA,50784,Good - Refurbished · Dell,0,True,28
"Acer Swift Go 14"" Laptop Intel Core Ultra 7 155H 16GB RAM 1TB SSD Refurbished",39999,Certified - Refurbished · Acer · 1 TB,0,True,3218
2026 Dell Inspiron Laptop 15 Touch 10-Core Intel i5 Upto 64GB RAM 2TB SSD WinPRO,47900,✅Lifetime MS Office ✅16GB|32GB|64GB RAM ✅512GB|2TB SSD,0,True,
"2026 HP Laptop Computer 17.3"" 10-Core Intel i7 Upto 64GB RAM 2TB SSD Office 2024",59900,✅Lifetime Office 2024 ✅16GB|32GB|64GB RAM✅512GB|2TB SSD,0,True,
DELL Latitude Laptop: Intel i5! 16GB RAM! 256GB SSD! Zorin Core Edition!,14300,Stop Planned Obsolescence w Zorin OS! 1 Year Warranty!,0,True,686
"2026 HP Laptop Computer 17.3"" 10-Core Intel i7 Upto 64GB RAM 2TB SSD Office 2024",18000,Brand New · HP · 2 TB,0,,
"2026 ASUS Vivobook 14"" FHD Laptop, 6-Core Intel i3 Up to 40GB RAM 2TB SSD WinPro",31900,✅Lifetime Office 2024 ✅16GB|40GB RAM✅512GB|2TB SSD,0,True,
"2026 HP Laptop 17.3"" FHD 6-Core AMD Ryzen 5 Up to 64GB RAM 2TB SSD Win 11 Pro",54900,✅Lifetime MS Office✅12GB|64GB RAM✅256GB|2TB SSD IPS,0,True,
"Lenovo ThinkPad X1 Carbon 6 14"" Laptop i7 8th Gen 512GB SSD 16GB RAM Win11 (CR)",22995,Pre-Owned · Lenovo,0,True,
